Indicator,Year,County,State,FIPS,Rate,Cases,Population
HIV diagnoses,2014,Adams County ,Washington,53001,Data suppressed,Data suppressed,"14,104"
HIV diagnoses,2014,Adams County ,Wisconsin,55001,Data suppressed,Data suppressed,"18,121"
HIV diagnoses,2014,Albany County ,Wyoming,56001,Data suppressed,Data suppressed,"33,125"
HIV diagnoses,2014,Ashland County ,Wisconsin,55003,Data suppressed,Data suppressed,"13,475"
HIV diagnoses,2014,Asotin County ,Washington,53003,Data suppressed,Data suppressed,"18,878"
HIV diagnoses,2014,Barron County ,Wisconsin,55005,Data suppressed,Data suppressed,"38,421"
HIV diagnoses,2014,Bayfield County ,Wisconsin,55007,Data suppressed,Data suppressed,"13,147"
HIV diagnoses,2014,Benton County ,Washington,53005,5.3,8,"150,701"
HIV diagnoses,2014,Big Horn County ,Wyoming,56003,Data suppressed,Data suppressed,"9,786"
HIV diagnoses,2014,Brown County ,Wisconsin,55009,Data suppressed,Data suppressed,"211,521"
HIV diagnoses,2014,Buffalo County ,Wisconsin,55011,Data suppressed,Data suppressed,"11,245"
HIV diagnoses,2014,Burnett County ,Wisconsin,55013,Data suppressed,Data suppressed,"13,405"
HIV diagnoses,2014,Calumet County ,Wisconsin,55015,Data suppressed,Data suppressed,"40,616"
HIV diagnoses,2014,Campbell County ,Wyoming,56005,Data suppressed,Data suppressed,"38,169"
HIV diagnoses,2014,Carbon County ,Wyoming,56007,Data suppressed,Data suppressed,"13,082"
HIV diagnoses,2014,Chelan County ,Washington,53007,Data suppressed,Data suppressed,"61,511"
HIV diagnoses,2014,Chippewa County ,Wisconsin,55017,Data suppressed,Data suppressed,"53,179"
HIV diagnoses,2014,Clallam County ,Washington,53009,Data suppressed,Data suppressed,"63,644"
HIV diagnoses,2014,Clark County ,Washington,53011,5.7,21,"370,544"
HIV diagnoses,2014,Clark County ,Wisconsin,55019,Data suppressed,Data suppressed,"27,116"
HIV diagnoses,2014,Columbia County ,Washington,53013,Data suppressed,Data suppressed,"3,485"
HIV diagnoses,2014,Columbia County ,Wisconsin,55021,Data suppressed,Data suppressed,"47,786"
HIV diagnoses,2014,Converse County ,Wyoming,56009,Data suppressed,Data suppressed,"11,577"
HIV diagnoses,2014,Cowlitz County ,Washington,53015,Data suppressed,Data suppressed,"85,668"
HIV diagnoses,2014,Crawford County ,Wisconsin,55023,Data suppressed,Data suppressed,"13,996"
HIV diagnoses,2014,Crook County ,Wyoming,56011,Data suppressed,Data suppressed,"5,991"
HIV diagnoses,2014,Dane County ,Wisconsin,55025,5.7,25,"437,382"
HIV diagnoses,2014,Dodge County ,Wisconsin,55027,Data suppressed,Data suppressed,"75,835"
HIV diagnoses,2014,Door County ,Wisconsin,55029,Data suppressed,Data suppressed,"24,497"
HIV diagnoses,2014,Douglas County ,Washington,53017,Data suppressed,Data suppressed,"32,394"
HIV diagnoses,2014,Douglas County ,Wisconsin,55031,Data suppressed,Data suppressed,"37,359"
HIV diagnoses,2014,Dunn County ,Wisconsin,55033,Data suppressed,Data suppressed,"38,033"
HIV diagnoses,2014,Eau Claire County ,Wisconsin,55035,Data suppressed,Data suppressed,"86,530"
HIV diagnoses,2014,Ferry County ,Washington,53019,Data suppressed,Data suppressed,"6,681"
HIV diagnoses,2014,Florence County ,Wisconsin,55037,Data suppressed,Data suppressed,"3,997"
HIV diagnoses,2014,Fond Du Lac County ,Wisconsin,55039,Data suppressed,Data suppressed,"86,161"
HIV diagnoses,2014,Forest County ,Wisconsin,55041,Data suppressed,Data suppressed,"7,790"
HIV diagnoses,2014,Franklin County ,Washington,53021,Data suppressed,Data suppressed,"65,724"
HIV diagnoses,2014,Fremont County ,Wyoming,56013,Data suppressed,Data suppressed,"32,964"
HIV diagnoses,2014,Garfield County ,Washington,53023,Data suppressed,Data suppressed,"1,913"
HIV diagnoses,2014,Goshen County ,Wyoming,56015,Data suppressed,Data suppressed,"11,605"
HIV diagnoses,2014,Grant County ,Washington,53025,Data suppressed,Data suppressed,"72,354"
